destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
San Antonio Ibiza,68,0.5514,0.7206,22,31,15,22.06,cardiffnlp/twitter-xlm-roberta-base-sentiment
Magaluf,68,0.4725,0.712,14,34,20,29.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lüneburg,67,0.7896,0.8226,46,18,3,4.48,cardiffnlp/twitter-xlm-roberta-base-sentiment
Liguria,67,0.5748,0.6779,26,23,18,26.87,cardiffnlp/twitter-xlm-roberta-base-sentiment
Comunitat Valenciana,67,0.7265,0.7994,44,13,10,14.93,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tenerife resort review,66,0.6972,0.7899,38,22,6,9.09,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ile de France,66,0.6805,0.6903,35,20,11,16.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
Granada Caribe,66,0.6733,0.7894,32,29,5,7.58,cardiffnlp/twitter-xlm-roberta-base-sentiment
Veneto,65,0.5352,0.7321,21,28,16,24.62,cardiffnlp/twitter-xlm-roberta-base-sentiment
Región de Murcia,65,0.5906,0.7514,28,22,15,23.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
Latvija,65,0.6933,0.7574,35,25,5,7.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Karlsruhe,65,0.5492,0.6895,14,42,9,13.85,cardiffnlp/twitter-xlm-roberta-base-sentiment
Benidorm,65,0.4969,0.7249,12,39,14,21.54,cardiffnlp/twitter-xlm-roberta-base-sentiment
vacaciones verano 2025 oferta,64,0.454,0.746,11,32,21,32.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
todo incluido barato,64,0.6374,0.6992,28,33,3,4.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tailandia Koh Samui,64,0.6769,0.7501,32,29,3,4.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Oslo og Viken,64,0.6556,0.7433,28,34,2,3.12,cardiffnlp/twitter-xlm-roberta-base-sentiment
Helsinki-Uusimaa,64,0.6839,0.7644,32,29,3,4.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Comunidad Foral de Navarra,63,0.6573,0.783,32,23,8,12.7,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ciudad de Ceuta,63,0.6482,0.7603,27,31,5,7.94,cardiffnlp/twitter-xlm-roberta-base-sentiment
Azores senderismo,63,0.6858,0.7898,32,28,3,4.76,cardiffnlp/twitter-xlm-roberta-base-sentiment
Robinson Club Fuerteventura,62,0.6518,0.8521,26,30,6,9.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Puerto de la Cruz Tenerife,62,0.5661,0.7112,17,37,8,12.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Şanlıurfa, Diyarbakır",61,0.7446,0.818,40,15,6,9.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Oberbayern,61,0.7112,0.8257,34,23,4,6.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Centre — Val de Loire,61,0.795,0.8551,45,11,5,8.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cabo Verde,61,0.4646,0.6708,10,32,19,31.15,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Adana, Mersin",61,0.7314,0.7955,38,18,5,8.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tübingen,60,0.6481,0.7767,23,35,2,3.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
İstanbul,59,0.4723,0.6405,9,31,19,32.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Maldivas atolón,59,0.721,0.7965,35,18,6,10.17,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ciudad de Melilla,59,0.7529,0.8025,39,16,4,6.78,cardiffnlp/twitter-xlm-roberta-base-sentiment
Centru,59,0.533,0.7835,18,29,12,20.34,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mellersta Norrland,58,0.7975,0.855,41,14,3,5.17,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Mardin, Batman, Şırnak, Siirt",58,0.7047,0.7605,35,17,6,10.34,cardiffnlp/twitter-xlm-roberta-base-sentiment
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,57,0.7711,0.8228,38,17,2,3.51,cardiffnlp/twitter-xlm-roberta-base-sentiment
Region Vojvodine,57,0.7958,0.8135,42,11,4,7.02,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancun resort review,57,0.5565,0.7064,16,28,13,22.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Trier,56,0.6387,0.6777,24,22,10,17.86,cardiffnlp/twitter-xlm-roberta-base-sentiment
Nordwestschweiz,56,0.7706,0.8121,40,12,4,7.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa Adeje,56,0.6795,0.7714,28,21,7,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Brandenburg,56,0.4642,0.5366,5,36,15,26.79,cardiffnlp/twitter-xlm-roberta-base-sentiment
Zentralschweiz,55,0.7952,0.8376,39,15,1,1.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Schwaben,55,0.6945,0.808,30,19,6,10.91,cardiffnlp/twitter-xlm-roberta-base-sentiment
Málaga,55,0.4174,0.4399,6,21,28,50.91,cardiffnlp/twitter-xlm-roberta-base-sentiment
Champagne-Ardenne,55,0.7523,0.7579,35,19,1,1.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
última hora vacaciones playa,54,0.6576,0.7729,24,25,5,9.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Teneriffa Hotel Bewertung,54,0.6168,0.7874,20,29,5,9.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Svalbard og Jan Mayen,54,0.7725,0.8096,37,14,3,5.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Chipre Norte,54,0.5984,0.7577,18,31,5,9.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Prov. Luxembourg,53,0.8067,0.7983,39,12,2,3.77,cardiffnlp/twitter-xlm-roberta-base-sentiment
Navidad Caribe,53,0.6691,0.7384,23,30,0,0.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca hotel opiniones,53,0.4632,0.7817,12,25,16,30.19,cardiffnlp/twitter-xlm-roberta-base-sentiment
Unterfranken,52,0.4708,0.7275,12,23,17,32.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Provincia Autonoma di Bolzano/Bozen,52,0.6904,0.775,27,22,3,5.77,cardiffnlp/twitter-xlm-roberta-base-sentiment
Midi-Pyrénées,52,0.6418,0.7308,21,28,3,5.77,cardiffnlp/twitter-xlm-roberta-base-sentiment
Languedoc-Roussillon,52,0.7003,0.7333,28,20,4,7.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Grad Zagreb,52,0.5603,0.6867,17,21,14,26.92,cardiffnlp/twitter-xlm-roberta-base-sentiment
Gießen,52,0.7053,0.7431,32,13,7,13.46,cardiffnlp/twitter-xlm-roberta-base-sentiment
Zuid-Holland,51,0.7714,0.8083,34,15,2,3.92,cardiffnlp/twitter-xlm-roberta-base-sentiment
Veri,51,0.7849,0.804,35,15,1,1.96,cardiffnlp/twitter-xlm-roberta-base-sentiment
